Code,Name,Stock,Price,PromoPrice
1027512,POWER STEERING RACK ASSY (LHD)ACCENT 2017/RIO 2017 (FROTISE),0,1050,0
1027513,POWER STEERING RACK ASSY (LHD)IX35 2020 (FROTISE),2,1100,0
1027514,POWER STEERING RACK ASSY SORENTO 2015 LHD(GEAR TYPE)(FROTISE),13,1250,0
1027515,POWER STEERING RACK ASSY SORENTO 2010 LHD(FROTISE),15,1600,0
1027516,POWER STEERING RACK ASSY (LHD)SORENTO 2014 (FROTISE),25,1980,1700
1027517,POWER STEERING RACK ASSY COROLLA 2019 ZRE212 LHD(FROTISE),20,990,800
1027518,POWER STEERING RACK ASSY ACCENT 2012 LHD(FROTISE),0,780,0
1028760,POWER STEERING RACK YARIS 2005 NCP90 (LHD)(FROTISE),2040,560,0
1028761,POWER STEERING RACK ASSY (LHD) HIACE 1995 LH113 (FROTISE),35,1300,0
1028762,POWER STEERING RACK RAV4 2008 ACA33 (LHD) (FROTISE),148,800,0
1028763,POWER STEERING RACK ASSY (LHD) HIGHLANDER 2008 GSU45 (FROTISE),79,990,0
1028764,POWER STEERING RACK ASSY(LHD)PASSO KGC10(FROTISE),17,800,0
1028784,POWER STEERING RACK (LHD) HYUNDAI GRACE H100 (FROTISE),95,1350,0
1026295,POWER STEERING RACK ASSY COROLLA 2014 ZRE172 LHD FROTISE,85,800,0
1026296,POWER STEERING RACK ASSY NAVARA D23 LHD (FROTISE),0,1980,0
1026299,POWER STEERING RACK ASSY TUCSON 2017 4WD LHD(FROTISE),0,1100,0
1028224,POWER STEERING RACK ASSY HYUNDAI CRETA 2015 (LHD)(FROTISE),18,1250,0
1027134,POWER STEERING RACK ASSY (LHD) YARIS 2013 KSP130(FROTISE),0,990,0
1027135,POWER STEERING RACK ASSY CAMRY 2012 ACV50(FROTISE),118,890,0
1027136,POWER STEERING RACK ASSY (LHD) PICANTO 2004/I10 2007 (FROTISE),179,700,0
1027137,POWER STEERING RACK ASSY (LHD) SENTRA B17 (FROTISE),6,880,0
1027138,POWER STEERING RACK ASSY (LHD) PATROL 2010 Y62 (ELECTRIC) (FROTISE),46,5200,4600
1027139,POWER STEERING RACK ASSY (LHD) PILOT 2009 YF4 (FROTISE),15,2200,0
1027140,POWER STEERING RACK ASSY (LHD) ESCAPE  2008 (FROTISE),14,1250,0
1027141,POWER STEERING RACK ASSY (LHD) ELANTRA 2012 (FROTISE),0,800,0
1027142,POWER STEERING RACK ASSY (LHD) ELANTRA 2017(FROTISE),0,1150,0
1027143,POWER STEERING RACK ASSY (LHD) HYUNDAI SONATA 2013 (FROTISE),1,1200,0
1027144,POWER STEERING RACK ASSY (LHD) SONATA 2016 (FROTISE),10,1045,0
1027145,POWER STEERING RACK ASSY (LHD) HYUNDAI I10 2013(FROTISE),47,880,0
1028950,POWER STEERING RACK (LHD) COROLLA 2002 AE110  (FROTISE),12,1300,0
1028951,POWER STEERING RACK (LHD) CAMRY 1998 SXV20 (FROTISE),54,1350,1200
1028952,POWER STEERING RACK (LHD) (ELECTRONIC )HIGHLANDER 2020 GSU75 (FROTISE),2,9900,0
1028953,POWER STEERING RACK ASSY LHD NISSAN SENTRA B16 (FROTISE),21,990,0
1028954,POWER STEERING RACK (LHD) HONDA CRV 2013 RM4 (ELECTRICAL) (FROTISE),3,6800,0
1028956,POWER STEERING RACK (LHD) (ELECTRICAL) HONDA CRV 2017 RW4 (FROTISE),0,4900,0
1028958,POWER STEERING RACK (LHD) PAJERO 2008 V97 (FROTISE),32,1500,0
